0,1,2
40,40,40
41,40,40
42,40,40
43,40,40
44,40,40
45,40,40
46,40,40
47,40,40
48,40,40
49,40,40
50,50,40
51,50,40
52,50,40
53,50,40
54,50,40
55,50,40
56,50,40
57,50,40
58,50,40
59,50,40
60,60,60
61,60,60
62,60,60
63,60,60
64,60,60
65,60,60
66,60,60
67,60,60
68,60,60
69,60,60
70,70,60
71,70,60
72,70,60
73,70,60
74,70,60
75,70,60
76,70,60
77,70,60
78,70,60
79,70,60
80,80,80
81,80,80
82,80,80
83,80,80
84,80,80
85,80,80
86,80,80
87,80,80
88,80,80
89,80,80
90,90,80
91,90,80
92,90,80
93,90,80
94,90,80
95,90,80
96,90,80
97,90,80
98,90,80
99,90,80
100,100,100
101,100,100
102,100,100
103,100,100
104,100,100
105,100,100
106,100,100
107,100,100
108,100,100
109,100,100
110,110,100
111,110,100
112,110,100
113,110,100
114,110,100
115,110,100
116,110,100
117,110,100
118,110,100
119,110,100
120,110,100
